log.prior	log.likelihood	log.likelihood.test.set
-1.515777974433877716e+04 -1.615846974105018307e+04 -2.614664924367516505e+03
-1.514833773514752465e+04 -1.617017707928772870e+04 -2.617879938695206420e+03
-1.513558488140426743e+04 -1.616339052331086896e+04 -2.614597563093247118e+03
-1.510459861627415557e+04 -1.616634700675628301e+04 -2.611434718373135638e+03
-1.509776150144581516e+04 -1.615766029166697990e+04 -2.609643631773455127e+03
-1.507543149629916297e+04 -1.616966984845936167e+04 -2.611027884847615951e+03
-1.510456279420169085e+04 -1.617027187051148394e+04 -2.611412919011323993e+03
-1.511405969657202149e+04 -1.615484607196768411e+04 -2.613987991765482548e+03
-1.511671779587187666e+04 -1.615113515605800967e+04 -2.611406114512957174e+03
-1.509581385554402550e+04 -1.615195353414843339e+04 -2.610459388574799050e+03
-1.511678510812734748e+04 -1.616130543725814641e+04 -2.616691250354799649e+03
-1.512656225915347386e+04 -1.615530834286482059e+04 -2.613016386254263580e+03
-1.509189106836085921e+04 -1.616412169096453727e+04 -2.615097036477415259e+03
-1.509683858735046670e+04 -1.615887599584069540e+04 -2.615650675113688067e+03
-1.510270399274436386e+04 -1.615223793721560287e+04 -2.614798319799441742e+03
-1.507734986558468700e+04 -1.615950601217107032e+04 -2.613890349135511769e+03
-1.507915848806209215e+04 -1.615490395408522818e+04 -2.612304005995741136e+03
-1.506783744190900325e+04 -1.616163942387070347e+04 -2.613123046693331617e+03
-1.505777043178247732e+04 -1.615854954657541384e+04 -2.613137332112211425e+03
-1.506321467589127133e+04 -1.616022331835468140e+04 -2.615688130886218460e+03
-1.508903136535092381e+04 -1.615373511305890133e+04 -2.610976085751751270e+03
-1.509217215234821742e+04 -1.616083316466387987e+04 -2.616825307920134492e+03
-1.508430828709744856e+04 -1.615772321473123156e+04 -2.616613211425120426e+03
-1.509735192716597885e+04 -1.615299007046193219e+04 -2.608122225135326516e+03
-1.505888781576367364e+04 -1.614534328102763175e+04 -2.611425832912093028e+03
-1.504853727823054396e+04 -1.615636858928438596e+04 -2.614029100977632879e+03
-1.507161197390558300e+04 -1.615025772697715729e+04 -2.612370325462458368e+03
-1.509653910897683454e+04 -1.613793117860880375e+04 -2.612970641392653761e+03
-1.509620391299195944e+04 -1.613611466295748141e+04 -2.614086991727152053e+03
-1.507999750713612411e+04 -1.614072217979258494e+04 -2.614376148448661297e+03
-1.506910544501675213e+04 -1.614451845672633499e+04 -2.614465355654595442e+03
-1.506543011510216820e+04 -1.615047598082895456e+04 -2.612099979122629975e+03
-1.508023398967562207e+04 -1.613291659474149492e+04 -2.609944859347047895e+03
-1.507893024605866594e+04 -1.613639979235523060e+04 -2.609951210928134060e+03
-1.507207431721937974e+04 -1.613700626239182202e+04 -2.612105197312420387e+03
-1.507814568460595910e+04 -1.613299972970065028e+04 -2.609750537263157184e+03
-1.509842327552942334e+04 -1.613914805981963764e+04 -2.611838329915642134e+03
-1.508755027944349786e+04 -1.613714769110640009e+04 -2.614666938688159007e+03
-1.505563031386128387e+04 -1.614203812052813191e+04 -2.617172236453670848e+03
-1.504178860546661781e+04 -1.614434427113317179e+04 -2.616813598356679904e+03
-1.505388623238518994e+04 -1.613943591231736355e+04 -2.609475173458246445e+03
-1.507414528241494190e+04 -1.613791220159358090e+04 -2.608761676619157242e+03
-1.510963824892564116e+04 -1.613418586364876137e+04 -2.608629237641204782e+03
-1.509574563285957811e+04 -1.613580985649951072e+04 -2.613367424586308061e+03
-1.511654535985509938e+04 -1.613917156449287722e+04 -2.610278473126218614e+03
-1.512057338499607249e+04 -1.613668881170405075e+04 -2.607932942850311065e+03
-1.512514467756779050e+04 -1.613929629902000852e+04 -2.612674035147155791e+03
-1.514340846813944881e+04 -1.613581911984201906e+04 -2.609683874433635083e+03
-1.513971832088101655e+04 -1.613700318239795160e+04 -2.609745201182245637e+03
-1.514598500489620892e+04 -1.613647572357830722e+04 -2.607281042254321619e+03
-1.514262511259547318e+04 -1.613465028555530807e+04 -2.608343931258964858e+03
-1.512008302240938792e+04 -1.613605611994386527e+04 -2.610514992413250638e+03
-1.510587893753080243e+04 -1.613450874205443324e+04 -2.610175500104046023e+03
-1.510084337666145802e+04 -1.613783450246188113e+04 -2.611295767412073019e+03
-1.506680993362985100e+04 -1.613522930091237504e+04 -2.609031640914520267e+03
-1.506933655886208362e+04 -1.614149378816834178e+04 -2.610287606695343129e+03
-1.505455954140295580e+04 -1.614977492939286276e+04 -2.605327103484768941e+03
-1.504429062690245519e+04 -1.614301937636293951e+04 -2.606282440375912302e+03
-1.505634670548228314e+04 -1.613926110491089457e+04 -2.602711566518095879e+03
-1.506911325658844726e+04 -1.613659072649676818e+04 -2.600443343558167271e+03
-1.505788750841285764e+04 -1.614412044300452180e+04 -2.604532054078823421e+03
-1.505066044777991192e+04 -1.614309692097560219e+04 -2.604104956627050342e+03
-1.503297333959576463e+04 -1.613478541837632474e+04 -2.604496222490868149e+03
-1.503652580138165104e+04 -1.614292764816175441e+04 -2.605610309696307922e+03
-1.502517714875473212e+04 -1.615049978336035019e+04 -2.606183760951006207e+03
-1.505759658567322367e+04 -1.613813474867264995e+04 -2.608289084457372155e+03
-1.505699832057065032e+04 -1.614343265374521980e+04 -2.605121035291519547e+03
-1.502615319353956511e+04 -1.615061605889588282e+04 -2.606688607917084482e+03
-1.501319303076221877e+04 -1.614464375189120801e+04 -2.604989372928134799e+03
-1.500926922247599396e+04 -1.614650084115706159e+04 -2.600932050817145864e+03
-1.500783911177871596e+04 -1.614542569092058875e+04 -2.596345472584731851e+03
-1.504851015187320627e+04 -1.614363473094454093e+04 -2.600641341694698895e+03
-1.503580129256455439e+04 -1.614322998724023637e+04 -2.596023043211691856e+03
-1.503565768366841439e+04 -1.614204410471717165e+04 -2.596430983048560847e+03
-1.506111724890520418e+04 -1.614357312913182614e+04 -2.599232311107745772e+03
-1.504174685482743553e+04 -1.613315987281307025e+04 -2.595591755274820571e+03
-1.503418023798170361e+04 -1.613358095282554495e+04 -2.600136327731693655e+03
-1.503253742727414465e+04 -1.612812705862786606e+04 -2.598933332386453003e+03
-1.504082866024495888e+04 -1.613102384597954369e+04 -2.607915088487586672e+03
-1.505112599129211048e+04 -1.613463159221075693e+04 -2.609665890318857237e+03
-1.505422191007637230e+04 -1.612776536720337026e+04 -2.611889410066004530e+03
-1.504615562038067037e+04 -1.613826620034560983e+04 -2.614328545140645474e+03
-1.503816164235826545e+04 -1.614035091243952411e+04 -2.609406944514622410e+03
-1.503829116743642408e+04 -1.613236557039218678e+04 -2.609654971664502227e+03
-1.501870233575891689e+04 -1.612972041937437098e+04 -2.610106331085530655e+03
