time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	time.decay.7	time.decay.8	time.decay.9	time.decay.10	
1.001603806776547287e+02 9.493284237289992689e+01 9.091907966163746835e+01 1.005801751262448533e+02 9.081379643622548770e+01 9.871529859518163619e+01 9.166616762166341914e+01 9.489999097783228876e+01 9.052620976065554714e+01 9.589474113567759161e+01
9.925172000659262039e+01 8.631837824290093408e+01 9.708979515280563533e+01 1.087423452761387210e+02 1.023957465646521996e+02 9.016833109344193531e+01 1.048637478662850526e+02 1.052681631570797833e+02 9.276172863972172422e+01 9.976679006064217958e+01
9.852864787354980081e+01 7.429817631003899692e+01 9.435494702773880249e+01 1.095007005071502704e+02 1.033036478894872516e+02 9.926178979004239977e+01 9.917969034944771067e+01 1.094371665773451525e+02 9.692254432764089245e+01 8.890207818234078729e+01
9.835222479347982016e+01 8.641438487719855743e+01 1.018111164796865893e+02 9.725103325915624453e+01 1.003605015844410673e+02 1.110377010965255806e+02 1.077262533310710069e+02 9.364915280045082113e+01 9.701332613763119639e+01 1.119979318153698387e+02
1.042306207489828580e+02 9.629590926387528782e+01 9.698080553602777343e+01 8.431563734310182667e+01 9.783848695206890511e+01 1.176132010464835389e+02 1.002941492425507022e+02 1.064728601112497586e+02 9.883084807238938652e+01 9.170679295392147878e+01
9.420473231504507794e+01 8.786716504736781985e+01 9.578034462144202621e+01 1.164696023616823766e+02 9.400067686753294538e+01 9.857864963477233289e+01 1.052195589409193417e+02 9.808034728989109396e+01 9.927725943302687028e+01 1.039954339743034666e+02
1.095465114971474350e+02 9.554343711303809528e+01 9.011028665947094396e+01 1.212924642503621584e+02 1.108934875160785225e+02 1.017252039541551341e+02 1.094450280516070251e+02 1.053824680096771544e+02 9.665531120174874502e+01 9.258468624379108292e+01
1.036175700796468391e+02 1.110460451452300532e+02 1.022375407123714552e+02 9.631086379944630949e+01 9.073914664888020809e+01 9.874538247083863496e+01 1.180567804933390335e+02 1.049553064970649245e+02 1.113255138534595972e+02 9.600695126877236873e+01
7.948077766625118556e+01 1.107221930053144803e+02 1.030682866379274571e+02 1.016753344176451321e+02 1.080405684719711132e+02 1.071298950244497519e+02 1.055614504374335496e+02 9.097481464801745688e+01 8.590743985423043227e+01 1.037083687022602305e+02
1.127467282174273464e+02 1.068790681337357711e+02 9.745074075954755699e+01 9.935925503163505823e+01 9.584208726555387159e+01 8.580035777693407795e+01 9.676264463059472121e+01 8.098112817216021142e+01 9.138997532622678932e+01 1.175232803207797758e+02
1.144838094799437442e+02 1.044526120339598236e+02 9.559418092190539085e+01 1.088939089617864937e+02 9.361434006071354474e+01 9.676155270215366500e+01 1.095428897970321600e+02 8.990893338236242016e+01 8.801672441691907522e+01 1.167450614788909888e+02
