word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	word.concentration.7	word.concentration.8	word.concentration.9	word.concentration.10	word.concentration.11	word.concentration.12	
9.936954109505682808e+00 9.978076867011141715e+00 9.914944441869591785e+00 8.479096625458620196e+00 9.815162232591220004e+00 9.981112311543112625e+00 8.809669613464912175e+00 9.821001368393627473e+00 9.175536900712994992e+00 8.776717578387000174e+00 9.893490178992031758e+00 8.331403242133745835e+00
9.971390084239361684e+00 9.874236935557323847e+00 9.890131012951464129e+00 9.408812660973705277e+00 9.885272649138794776e+00 9.986000252209954908e+00 8.979488674354241695e+00 9.919412073577781541e+00 9.990834580823776179e+00 8.863570684350646545e+00 9.149188232481536787e+00 8.606196734281356342e+00
9.958052579112308678e+00 9.801940998422347562e+00 9.864098766664092466e+00 8.581357406359103379e+00 9.841348085892382969e+00 9.899688071721143956e+00 9.920453890113433815e+00 9.887462323532195896e+00 9.817349806132101619e+00 9.198666943658778905e+00 9.740743331422278217e+00 9.243272289682252563e+00
9.970793635052970671e+00 9.466323982495723044e+00 9.839766720403472888e+00 7.459131437926499686e+00 9.640578697304251321e+00 9.687165221045781038e+00 9.513893010478088996e+00 9.818428958117365823e+00 9.713299887510048691e+00 9.213378934042118829e+00 9.892364860487658618e+00 9.485366660788251636e+00
9.962510859699262866e+00 9.558157973994417134e+00 9.808222078599833083e+00 7.845905385458612713e+00 9.806668063941783586e+00 9.795153676564769540e+00 9.239528678253943639e+00 9.901043322396098745e+00 9.633176731860569220e+00 9.523754724483392664e+00 9.785600790543981020e+00 8.181106408574709832e+00
9.887266044272344345e+00 9.955842845686806442e+00 9.843482305004684463e+00 7.674258533057515486e+00 9.889332315790758443e+00 9.848289581633020262e+00 7.744129382675046358e+00 9.476732548340502049e+00 9.934580650517176537e+00 9.629019569808054513e+00 9.823500015108157513e+00 9.728015489157231244e+00
9.994444566543428721e+00 9.851652647738083246e+00 9.875453057720562811e+00 9.964224554592910010e+00 9.821787023802844629e+00 9.910382892347840311e+00 9.281217717152035362e+00 9.857949017997414742e+00 9.888415385164892157e+00 9.826830030952139694e+00 9.961938702861106165e+00 9.518955804190976977e+00
9.816708773705947522e+00 9.887262943563834838e+00 9.447616130180584548e+00 9.816119288249739228e+00 9.934552431629033009e+00 9.965962149962390271e+00 5.930825391029046934e+00 9.596229577688948353e+00 9.962578931365067447e+00 8.748286273339555663e+00 9.976615211692596574e+00 9.513808680628159209e+00
9.874322068961994603e+00 9.874102364098478191e+00 9.979883640903754127e+00 9.664993555337856534e+00 9.901934360704935045e+00 9.954364213686709206e+00 9.528079155724910265e+00 9.849235028982704421e+00 9.825983630516530454e+00 9.258087359703488062e+00 9.717458892185643293e+00 9.075740615860425464e+00
9.980844514376443044e+00 9.917260680081239954e+00 9.977033645823876640e+00 7.758524141897568782e+00 9.922503087407076094e+00 9.932435785536442907e+00 8.428006518759600496e+00 9.129549999039515029e+00 9.745512687240236005e+00 9.180145106919718856e+00 9.957614522056866591e+00 9.312636579613720045e+00
9.994491823869534386e+00 9.961743881253799060e+00 9.967865138551070814e+00 8.962941724623780360e+00 9.860170535878857834e+00 9.948146605570647338e+00 9.078568151415641552e+00 9.950492182285520570e+00 8.594799829493434018e+00 9.883606017268196098e+00 9.935083363366540965e+00 8.414929141825114201e+00
9.912471739600352549e+00 9.961392773837932424e+00 9.730731798528438503e+00 9.245683634724333189e+00 9.890580724869659335e+00 9.986237747285279909e+00 8.146802563940706676e+00 9.849962295187117078e+00 8.307899371123045995e+00 9.716286900964231421e+00 9.709546390501332169e+00 8.555565810896647250e+00
9.986254214398114115e+00 9.860598599724715640e+00 9.972120827405008825e+00 7.626374587398734306e+00 9.880643379140751748e+00 9.990523486032079958e+00 8.826316087518037534e+00 9.364528089429537516e+00 8.781212306012900370e+00 9.179580742376778346e+00 9.908183378105608341e+00 9.283342935739273827e+00
9.911915590938258802e+00 9.942339612167797824e+00 9.868623201510386522e+00 9.148551503866034551e+00 9.987714112125981814e+00 9.977519485251283626e+00 9.380205149025037770e+00 9.899186672787172014e+00 9.242013889228559265e+00 8.830901226476862931e+00 9.876316015768008327e+00 8.740008316398496291e+00
9.974154449379536658e+00 9.497154378210044712e+00 9.875023415984943043e+00 9.827055211888957587e+00 9.915403143974980793e+00 9.746887434918669157e+00 4.828004149016161151e+00 9.820153678204368575e+00 9.267579267370976481e+00 9.508937084114753802e+00 9.642679418885123255e+00 9.481510292473007695e+00
9.992642761052470846e+00 9.654547062916369882e+00 9.527424541881927667e+00 9.656087045691933213e+00 9.842041726461136619e+00 9.779154574161880831e+00 7.346746420706534053e+00 9.403769947969012222e+00 9.196731779795207729e+00 9.493615261579479991e+00 9.791588574738165462e+00 8.567237131739897649e+00
9.950491650711708047e+00 9.322251030993724541e+00 9.251849783367593005e+00 9.779643651913584534e+00 9.957632401789684451e+00 9.914043984239707896e+00 6.570337825488250516e+00 9.098259079723710840e+00 9.461535321176839375e+00 9.829293725964600270e+00 9.418180165397220804e+00 8.416212515602991218e+00
9.927047261001240130e+00 9.610265215040621811e+00 9.573050910823640791e+00 9.481979427146589146e+00 9.612207705965083449e+00 9.884802008578104093e+00 9.359251418906604059e+00 9.195705325619492498e+00 9.298920642721686391e+00 9.385114496857946520e+00 9.648399195967350295e+00 9.104016627770006309e+00
9.851995680065947170e+00 9.515444023049585809e+00 9.632146126586633272e+00 9.336085849147604421e+00 9.576604093833832820e+00 9.943696052476241221e+00 8.706891991812209852e+00 9.247747692625191362e+00 9.759774987053404516e+00 8.564627364331034443e+00 9.759601019514573039e+00 9.008549336709560151e+00
9.908638448558207301e+00 9.989185171002015196e+00 9.767615122392500737e+00 8.799556941847502145e+00 9.639005860932247316e+00 9.945590755307504693e+00 8.730900576915786360e+00 9.932923171338943646e+00 9.842754035691809733e+00 8.400426685483205702e+00 9.923679793260605564e+00 8.452968303013735252e+00
9.905817897786795001e+00 9.990301551352823495e+00 9.576614482259675043e+00 8.125429689325333271e+00 9.558587094092223069e+00 9.915768911433248789e+00 8.747760402746138197e+00 9.871746143040750709e+00 9.307523342868183391e+00 8.563001159827429376e+00 9.587919088428053627e+00 9.338217864171346250e+00
9.823996498334576444e+00 9.799339971046766351e+00 9.595621344648982642e+00 9.983597539641905882e+00 9.957550285678253843e+00 9.900704638719794559e+00 9.864725780336303984e+00 9.818793821242696396e+00 9.269202573460885830e+00 8.670990718360872762e+00 9.571558953312475637e+00 9.083211873316768603e+00
9.913091303949867594e+00 9.829269124099033306e+00 9.871670998875680780e+00 9.325475605023660464e+00 9.579795212723096753e+00 9.904488133014947238e+00 8.947450397211424544e+00 9.903407650136053064e+00 9.499022519905393480e+00 8.045573212095147753e+00 9.704702021841837833e+00 8.520640233575138112e+00
9.947207551822668137e+00 9.756709011251539110e+00 9.901800225563151869e+00 9.897332766226542233e+00 9.646719488335953940e+00 9.783712495816999422e+00 9.433701756304433417e+00 8.847333501862530980e+00 9.616635348105246450e+00 7.998967427854296375e+00 9.628092423561112057e+00 9.404345024535253117e+00
9.964762704409203309e+00 9.992036089536826537e+00 9.620058632466953696e+00 9.932558486916876817e+00 9.834094757899608297e+00 9.811303721314192927e+00 9.952129918319290169e+00 7.814841583099452649e+00 8.640025887930104176e+00 9.364903948889875096e+00 9.671049880528336473e+00 7.945292588265206568e+00
9.896797034969841533e+00 9.974963075303685756e+00 9.661461516670360794e+00 9.684032185820402816e+00 9.851398046419522103e+00 9.689345691680006922e+00 8.331423110692291800e+00 9.134580311532948471e+00 9.479083352120614592e+00 9.662711719776453378e+00 9.819628064018155911e+00 7.994949623699902475e+00
9.947237404963553686e+00 9.955680414398434763e+00 9.625089245157287365e+00 9.781020329120643453e+00 9.617692852786763780e+00 9.863074520163154446e+00 8.404136437025835349e+00 9.143277762652266105e+00 9.247052699613828253e+00 7.689482095430316910e+00 9.974567479425743954e+00 9.907259387840211318e+00
9.861575224145465057e+00 9.938632882367249621e+00 9.833638301744240806e+00 9.248602261560149529e+00 9.646833687763706422e+00 9.971215554452323104e+00 9.909857663922068127e+00 9.173863760666428391e+00 9.730265502100989394e+00 9.681605079013372972e+00 9.959558623700239366e+00 8.917347007754372612e+00
9.955210793849877504e+00 9.949866059791924400e+00 9.993064105315793810e+00 8.959043329715969506e+00 9.769689381373025228e+00 9.953544716710291951e+00 8.265549966495777667e+00 9.571142408579623506e+00 9.878666362572241511e+00 9.770131832627868107e+00 9.952099483184607465e+00 8.900392682834137759e+00
9.974903804833520127e+00 9.987322848463559666e+00 9.940901537121405340e+00 9.133219965880059021e+00 9.830418270800254987e+00 9.977637294063653073e+00 7.115893218175699531e+00 9.781056380916780313e+00 9.853541909496664530e+00 8.703572059142427264e+00 9.824770836745157609e+00 9.378942962349777090e+00
9.972899917348948762e+00 9.975833031854095978e+00 9.919493501334153862e+00 9.141428579680995981e+00 9.952570070695161419e+00 9.984086064611004119e+00 9.326456260468951598e+00 9.950423704379709022e+00 9.396734372055588480e+00 9.438387832084618623e+00 9.816906981473335847e+00 7.946069175806204754e+00
9.974646824247672683e+00 9.967536468380819414e+00 9.912311929369735708e+00 8.672288995705143222e+00 9.692026569168216810e+00 9.938448431218377621e+00 9.268667308066648403e+00 9.805637971375706030e+00 9.611981155228537688e+00 9.898624391744604623e+00 9.882815686994716131e+00 9.412343815148677351e+00
